FontID,Designer,FontName,V8/V9,V6/V7,V5,V4
c768014b-90ec-4763-be01-13948118d81f,hhy,方正行黑,√,×,×,×
714d3be8-859b-4fef-81d7-bbcd77f9cc60,Lin Han,缅甸傣族字ZG,×,√,×,×
22d3d0b8-defd-4c26-b3c6-0616f99359d9,Michae,华康黑体W5拼音体,√,×,×,×
e775380c-a2f5-470f-9f37-f5feb0065c56,Moethittnyo,缅甸字体,√,×,×,×
58f0bded-85e9-4e75-82fa-5af9e006bbe4,momo,彩云追月歪歪体,√,×,×,×
60e16aef-1f9e-4e93-b1c0-419b07262ed6,momo,苍狼木刻残体,√,√,×,×
8c71203c-745e-44a0-a339-e5d32c73453f,momo,枯藤禅意体,√,×,×,×
86d322ed-458f-4989-9a12-50ef9c5109d9,momo,默陌歪歪圣诞体,√,×,×,×
d33adbd1-c8c3-437a-8557-170cc7becc6e,momo,默陌歪歪体,√,√,×,×
1037614c-625d-4285-ad59-a151b582218c,momo,默陌歪歪体月饼版,√,×,×,×
d442fa69-df47-400b-ad4c-3a544d61fb5c,momo,默陌歪歪纤瘦体,√,×,×,×
45fd8d61-3160-467e-bf09-18098fc06125,momo,默陌秀丽体,√,×,×,×
4d582be3-7215-4a7a-9b78-3f41f7583f56,momo,默陌硬笔行楷体,√,×,×,×
ab022ee3-ace7-433e-98e5-b0b9c67cb87f,momo,默陌纸鸢钢笔体,√,√,×,×
a10dc45c-cf98-4c4d-95ab-dd208faa8ad3,momo,默陌纸鸢行草书加粗,√,×,×,×
d334f37e-4d3f-47ea-aa1c-6459a13ca157,momo,小雅笔记手写体,√,√,×,×
d1bba6e6-8fbf-42a7-9c1d-a321560b58c1,MyanMi 4,NamKhone 2016,×,√,×,×
e0de518b-b069-4cf5-b762-2a1a4f3f4320,tout pi,Transformer Zawgyi,×,√,×,×
6244e48d-2e1a-4909-b8bf-6801d4602918,wolf,苍狼木刻碧波体,√,×,×,×
ac769e8e-837b-4d7d-8c57-1d3c1ce14917,X-手迹,X－花花手迹,√,√,×,×
c70e3372-0887-4e41-aa9b-2323e8e41ce9,X-手迹,X－欢乐手迹,√,√,×,×
1b2775bc-6d28-4f20-be9c-043e463a9ed1,X-手迹,X－俊杰手迹,√,√,×,×
4440b5bf-5e06-4e42-90af-b05a44c262c9,X-手迹,X－撸撸手迹,√,√,×,×
46de0b1c-f4eb-4501-a691-7295ea202a8c,X-手迹,X－妞妞手迹,√,√,×,×
86389947-4e68-4e6c-b940-a3e21feffc3e,X-手迹,X－奇奇手迹,√,√,×,×
5d12def6-0b3e-4032-a630-5207759e5de1,X-手迹,X－轻吻手迹,√,√,×,×
a7eff1ee-1f98-427d-b262-f173a698f35e,X-手迹,X－情感手迹,√,√,×,×
022b37e9-b492-421d-9623-ed4d450ab1ed,X-手迹,X－时光手迹,√,√,×,×
